# MOT

210528_083913_240229	log/no_ibt_ctmc_0_46_even_100_100_rec_80_prec_80/gtt_exit0_tmpls1/CTMC_0_46_100_100/active_rand_lost_rand_tracked_rand_glob_rec_80_prec_80	57.917	60.563	56.024	77.168	69.783	2066	75.1	1615	8256	1099384	1086747	80389	68.237	69.03	65.063	69.411	80.259	61.741	81.428	72.57	59.092	14338	3.529	88.612	75.537	74.669	820894	278490	265853	77.355	88.103	89.128	1127	431	57	26.687	1.47	968592	118155	130792	23.45	162.741	76.323
210528_102839_982062	log/ctmc_0_46_100_100_lk_nofeat2_64_tmpls1_MOT/active_cnn_r18_pt_lost_cnn_r18_pt/active_lost_batch_0/test/CTMC_0_46_100_100/MOT	54.055	58.533	50.703	73.48	59.009	3156	68.644	1615	4902	1099384	1009950	80389	64.656	70.382	55.989	73.529	80.309	57.116	75.171	72.323	54.366	6230	6.811	86.328	71.684	65.852	723968	375416	285982	73.767	82.816	90.15	953	552	110	34.18	1.237	910469	99481	188915	38.108	75.227	76.629
210528_110014_136314	log/no_ibt_ctmc_0_46_100_100_MOT/lk_wrapper_tmpls2_svm_min10_max50/CTMC_0_46_100_100/MOT	51.61	59.106	45.831	75.28	63.096	3849	64.387	1615	4759	1099384	1035202	80389	65.809	69.889	55.73	62.066	80.393	54.764	71.714	72.362	51.893	7547	4.644	87.449	66.383	62.508	687203	412181	347999	75.63	84.896	90.16	1019	521	75	32.26	1.267	933336	101866	166048	45.338	88.897	76.594

## gtt rep

210601_205725_971120 :: grs:12.1:210601_203436_194786	log/ctmc_0_46_100_100_lk_nofeat2_64_tmpls1_MOT/active_cnn_r18_pt_lost_cnn_r18_pt/active_lost_batch_0/test/CTMC_0_46_100_100/MOT_rep_210529_105213_347716_tracker_gtt	63.247	67.817	59.544	79.979	63.715	2294.000	74.041	1615.000	4228.000	1099384.000	1002796.000	80389.000	73.164	80.211	65.008	83.156	87.486	65.907	77.295	82.658	63.891	3128.000	7.121	89.638	77.607	70.789	778242.000	321142.000	224554.000	80.187	85.701	93.955	1029.000	471.000	115.000	29.164	0.754	942181.000	60615.000	157203.000	26.768	36.499	85.832
210601_234428_535242 :: x99:12.0:210601_203644_054363	log/no_ibt_ctmc_0_46_100_100_MOT/lk_wrapper_tmpls2_svm_min100_max50/CTMC_0_46_100_100/MOT_rep_210529_105213_347716_tracker_gtt	56.034	62.453	51.419	74.164	63.653	10016.000	65.609	1615.000	5315.000	1099384.000	1041525.000	80389.000	69.967	73.854	59.988	70.577	84.295	59.672	72.734	76.736	55.813	10734.000	4.892	87.201	67.431	63.882	702311.000	397073.000	339214.000	75.075	84.906	89.623	1028.000	508.000	79.000	31.455	1.344	933445.000	108080.000	165939.000	117.965	126.422	82.031

## LK GT

210603_143605_354014	log/ctmc_0_46_100_100_lk_nofeat2_64_tmpls1_MOT/active_cnn_r18_pt_lost_cnn_r18_pt/active_lost_batch_0/test/CTMC_0_46_100_100/MOT_gt	61.561	66.882	57.27	78.703	60.991	2741.000	71.281	1615.000	4664.000	1099384.000	989701.000	80389.000	72.083	80.072	61.776	83.971	87.331	64.133	75.326	82.388	62.059	3420.000	7.554	88.924	75.231	67.725	744559.000	354825.000	245142.000	78.952	84.488	93.851	985.000	508.000	122.000	31.455	0.757	928845.000	60856.000	170539.000	32.443	40.479	85.654
210604_055818_981916	log/no_ibt_ctmc_0_46_100_100_MOT/lk_wrapper_tmpls2_svm_min10_max50/CTMC_0_46_100_100/MOT_lk_gt	56.297	62.203	52.053	74.092	61.796	6625.000	66.249	1615.000	5414.000	1099384.000	1030182.000	80389.000	69.493	74.161	60.175	71.455	84.425	59.856	72.902	76.908	56.067	9336.000	5.139	86.936	68.474	64.163	705403.000	393981.000	324779.000	74.694	84.200	89.856	998.000	534.000	83.000	33.065	1.300	925679.000	104503.000	173705.000	78.682	110.879	82.192

### full trained

210604_014530_007402 :: grs:12.1:210602_195751_766818	log/ctmc_0_46_100_100_lk_nofeat2_64_gt_tmpls1_MOT/active_cnn_r18_pt_lost_cnn_r18_pt/active_lost_batch_0/test/CTMC_0_46_100_100/MOT	63.871	66.739	61.807	79.102	65.882	3601.000	75.690	1615.000	3255.000	1099384.000	1025989.000	80389.000	73.035	78.26	69.24	78.801	86.679	67.067	79.523	80.928	64.356	4699.000	7.368	89.359	78.397	73.163	804347.000	295037.000	221642.000	79.429	86.377	92.556	1064.000	432.000	119.000	26.749	0.950	949610.000	76379.000	149774.000	41.690	54.401	84.849
